category,info,lat,lon,marker_size,marker_color,label,tool_tip
Device,SB-KM6-323|BG14403|smart_tractor|Farmland|146.49 hours,38.302433,-121.2084351,2,red,,SB-KM6-323|BG14403|smart_tractor|Farmland|146.49 hours|2|##########|02.504.01.00.429
Device,SP-SH-203|BG18941|shaker|Farmland|146.54 hours,39.0017014,-121.3997803,2,red,,SP-SH-203|BG18941|shaker|Farmland|146.54 hours|2|##########|02.504.01.00.429
Device,JD5115M-3387 (new alias JHL-010423)|BG15819|smart_tractor|Farmland|146.59 hours,35.7253761,-119.3665085,2,red,,JD5115M-3387 (new alias JHL-010423)|BG15819|smart_tractor|Farmland|146.59 hours|2|##########|02.504.01.00.429
Device,P65-SH-170|BG15860|shaker|Farmland|146.46 hours,38.9628487,-121.3984299,2,red,,P65-SH-170|BG15860|shaker|Farmland|146.46 hours|2|##########|02.504.01.00.429
Device,SA-BO-010|BG18135|almonds_bankout|Farmland|146.51 hours,37.5660362,-120.6746902,2,red,,SA-BO-010|BG18135|almonds_bankout|Farmland|146.51 hours|2|##########|02.504.01.00.429
Device,SH2|BG18407|shaker|Farmland|146.59 hours,37.5578384,-120.6846848,2,red,,SH2|BG18407|shaker|Farmland|146.59 hours|2|##########|02.504.01.00.429
Device,SW1|BG18673|sweeper|Farmland|146.52 hours,37.5660172,-120.6748581,2,red,,SW1|BG18673|sweeper|Farmland|146.52 hours|2|##########|02.504.01.00.429
Device,TXS-010315|BG18689|shaker|Farmland|146.54 hours,35.8203201,-119.305397,2,red,,TXS-010315|BG18689|shaker|Farmland|146.54 hours|2|##########|02.504.01.00.429
Device,TR-JD5125-026|BG14607|smart_tractor|Farmland|146.56 hours,40.0400505,-122.233223,2,red,,TR-JD5125-026|BG14607|smart_tractor|Farmland|146.56 hours|2|##########|02.504.01.00.429
Device,TB-JD5115-436|BG14672|smart_tractor|Farmland|146.59 hours,39.9691124,-122.2552414,2,red,,TB-JD5115-436|BG14672|smart_tractor|Farmland|146.59 hours|2|##########|02.504.01.00.429
Device,TR-SH-050|BG16564|shaker|Farmland|146.54 hours,40.0395584,-122.2332382,2,red,,TR-SH-050|BG16564|shaker|Farmland|146.54 hours|2|##########|02.504.01.00.429
Device,G09|BG15773|smart_tractor|Gallo Coastal|146.59 hours,38.7588654,-122.9772568,2,red,,G09|BG15773|smart_tractor|Gallo Coastal|146.59 hours|2|##########|02.504.01.00.429
Device,25-125|BG18363|smart_tractor|Gallo Coastal|146.56 hours,38.5427246,-122.861145,2,red,,25-125|BG18363|smart_tractor|Gallo Coastal|146.56 hours|2|##########|02.504.01.00.429
Device,25-98|BG16615|smart_tractor|Gallo Coastal|146.51 hours,38.5271683,-122.9044113,2,red,,25-98|BG16615|smart_tractor|Gallo Coastal|146.51 hours|2|##########|02.504.01.00.429
Device,T68|BG20123|smart_tractor|Gilbert Orchards Inc|146.57 hours,46.7673111,-119.6029129,2,red,,T68|BG20123|smart_tractor|Gilbert Orchards Inc|146.57 hours|2|##########|02.504.01.00.429
Device,T04|BG18373|smart_tractor|Gold Leaf|146.47 hours,35.4715118,-113.9085007,2,red,,T04|BG18373|smart_tractor|Gold Leaf|146.47 hours|2|##########|02.504.01.00.429
Device,G05|BG18387|smart_tractor|Gold Leaf|146.56 hours,35.4479752,-113.9002609,2,red,,G05|BG18387|smart_tractor|Gold Leaf|146.56 hours|2|##########|02.504.01.00.429
Device,HPA-TRC-NH-39|BG18753|smart_tractor|Hop Products Australia|125.42 hours,-36.6236191,146.8039093,2,red,,HPA-TRC-NH-39|BG18753|smart_tractor|Hop Products Australia|125.42 hours|2|##########|02.503.50.00.419
