category,info,lat,lon,marker_size,marker_color,label,tool_tip
Yard Tag Sweep,"2 devices|0% NT|Pacific Farms & Orchards, INC.",40.050285333333335,-122.18211683333334,2,#008000,0/2,"Company: Pacific Farms & Orchards, INC.\nNT/Devices: 0/2 [0%]"
Yard Tag Sweep,9 devices|11% NT|Zirkle Fruit - Mattawa,46.71138049230768,-119.9109532179487,2.888888888888889,#1f8e00,1/9,Company: Zirkle Fruit - Mattawa\nNT/Devices: 1/9 [11%]
Yard Tag Sweep,6 devices|83% NT|Zirkle Fruit - Mattawa,46.70460065,-119.88011423333334,8.666666666666668,#e94f00,5/6,Company: Zirkle Fruit - Mattawa\nNT/Devices: 5/6 [83%]
Yard Tag Sweep,7 devices|14% NT|Rakkar Farms,36.88013468108108,-120.03948191081084,3.142857142857143,#299200,1/7,Company: Rakkar Farms\nNT/Devices: 1/7 [14%]
Yard Tag Sweep,3 devices|0% NT|Rakkar Farms,37.01970064,-120.22527237,2,#008000,0/3,Company: Rakkar Farms\nNT/Devices: 0/3 [0%]
Yard Tag Sweep,2 devices|50% NT|Englehardt Ag Services,40.070347707692314,-122.19188454615384,6.0,#bfbf00,1/2,Company: Englehardt Ag Services\nNT/Devices: 1/2 [50%]
Yard Tag Sweep,2 devices|0% NT|AgriMACS - MHO,47.26092656666666,-119.85459838333334,2,#008000,0/2,Company: AgriMACS - MHO\nNT/Devices: 0/2 [0%]
Yard Tag Sweep,2 devices|50% NT|Carpenter Ranches,46.38324757777778,-120.15797762777778,6.0,#bfbf00,1/2,Company: Carpenter Ranches\nNT/Devices: 1/2 [50%]
Yard Tag Sweep,5 devices|0% NT|Allred,46.93831015,-119.57977819999999,2,#008000,0/5,Company: Allred\nNT/Devices: 0/5 [0%]
Yard Tag Sweep,2 devices|50% NT|Sill Properties,35.47166403,-119.31442488,6.0,#bfbf00,1/2,Company: Sill Properties\nNT/Devices: 1/2 [50%]
Yard Tag Sweep,4 devices|0% NT|Allred,46.903648928571435,-119.7708653,2,#008000,0/4,Company: Allred\nNT/Devices: 0/4 [0%]
Yard Tag Sweep,9 devices|100% NT|Antica Napa Valley,38.43206808888888,-122.27654817222222,10.0,#f00,9/9,Company: Antica Napa Valley\nNT/Devices: 9/9 [100%]
Yard Tag Sweep,1 devices|100% NT|PGIM - Limoneria,35.87017278571428,-119.01234872857142,10.0,#f00,1/1,Company: PGIM - Limoneria\nNT/Devices: 1/1 [100%]
Yard Tag Sweep,5 devices|60% NT|Rakkar Farms,37.03684655172414,-120.15512768275862,6.8,#cca300,3/5,Company: Rakkar Farms\nNT/Devices: 3/5 [60%]
Yard Tag Sweep,"7 devices|57% NT|White Crane Ranch, Inc",37.31066413478261,-120.69699908695652,6.571428571428571,#c8ac00,4/7,"Company: White Crane Ranch, Inc\nNT/Devices: 4/7 [57%]"
Yard Tag Sweep,5 devices|20% NT|Antica Napa Valley,38.4265275125,-122.26881695833333,3.6,#3d9900,1/5,Company: Antica Napa Valley\nNT/Devices: 1/5 [20%]
Yard Tag Sweep,2 devices|0% NT|Vetter Ranches,36.054951800000005,-119.24999455,2,#008000,0/2,Company: Vetter Ranches\nNT/Devices: 0/2 [0%]
Yard Tag Sweep,"5 devices|60% NT|WC Ag Services, Inc.",37.91930789,-120.98202628999998,6.8,#cca300,3/5,"Company: WC Ag Services, Inc.\nNT/Devices: 3/5 [60%]"
Yard Tag Sweep,3 devices|0% NT|Vetter Ranches,36.0470395125,-119.24168967499999,2,#008000,0/3,Company: Vetter Ranches\nNT/Devices: 0/3 [0%]
Yard Tag Sweep,4 devices|0% NT|Letizia Farming LLC,36.49216897142857,-119.96283067142858,2,#008000,0/4,Company: Letizia Farming LLC\nNT/Devices: 0/4 [0%]
Yard Tag Sweep,6 devices|16% NT|Letizia Farming LLC,36.59472925294118,-119.60918920588236,3.333333333333333,#2f9400,1/6,Company: Letizia Farming LLC\nNT/Devices: 1/6 [16%]
Yard Tag Sweep,3 devices|33% NT|Tree Barber,37.198808815384616,-120.5824086076923,4.666666666666666,#70aa00,1/3,Company: Tree Barber\nNT/Devices: 1/3 [33%]
Yard Tag Sweep,1 devices|0% NT|Carpenter Ranches,46.332932355555556,-120.27343241111112,2,#008000,0/1,Company: Carpenter Ranches\nNT/Devices: 0/1 [0%]
Yard Tag Sweep,6 devices|33% NT|Sill Properties,35.45653133809523,-119.36290269047619,4.666666666666666,#70aa00,2/6,Company: Sill Properties\nNT/Devices: 2/6 [33%]
Yard Tag Sweep,2 devices|50% NT|Boundary Bend Olives,38.66880147058823,-122.04062697647059,6.0,#bfbf00,1/2,Company: Boundary Bend Olives\nNT/Devices: 1/2 [50%]
Yard Tag Sweep,3 devices|0% NT|Vetter Ranches,36.0515587,-119.3173813,2,#008000,0/3,Company: Vetter Ranches\nNT/Devices: 0/3 [0%]
Yard Tag Sweep,8 devices|0% NT|Bullseye Farming,38.554125979999995,-121.79453049000001,2,#008000,0/8,Company: Bullseye Farming\nNT/Devices: 0/8 [0%]
Yard Tag Sweep,1 devices|0% NT|West Ag Services,36.878795624999995,-120.7642622,2,#008000,0/1,Company: West Ag Services\nNT/Devices: 0/1 [0%]
Yard Tag Sweep,4 devices|25% NT|Rakkar Farms,36.884177225,-120.08784771250001,4.0,#50a000,1/4,Company: Rakkar Farms\nNT/Devices: 1/4 [25%]
Yard Tag Sweep,2 devices|0% NT|Bays Ranch Inc,37.407032779999994,-121.04176332000002,2,#008000,0/2,Company: Bays Ranch Inc\nNT/Devices: 0/2 [0%]
Yard Tag Sweep,"4 devices|75% NT|Pacific Farms & Orchards, INC.",39.913736349999986,-122.21556254999999,8.0,#df7000,3/4,"Company: Pacific Farms & Orchards, INC.\nNT/Devices: 3/4 [75%]"
Yard Tag Sweep,4 devices|0% NT|Allred,46.89496835,-119.77003734166668,2,#008000,0/4,Company: Allred\nNT/Devices: 0/4 [0%]
Yard Tag Sweep,1 devices|100% NT|Flory,37.667888085714274,-120.80398995714286,10.0,#f00,1/1,Company: Flory\nNT/Devices: 1/1 [100%]
Yard Tag Sweep,3 devices|33% NT|Travaille & Phippen,37.659952000000004,-120.7924027818182,4.666666666666666,#70aa00,1/3,Company: Travaille & Phippen\nNT/Devices: 1/3 [33%]
Yard Tag Sweep,3 devices|66% NT|Costa View Farms,37.041875275,-120.37350197499998,7.333333333333333,#d49000,2/3,Company: Costa View Farms\nNT/Devices: 2/3 [66%]
Yard Tag Sweep,6 devices|0% NT|Bays Ranch Inc,37.415307388888884,-121.09077877777779,2,#008000,0/6,Company: Bays Ranch Inc\nNT/Devices: 0/6 [0%]
Yard Tag Sweep,2 devices|0% NT|Englehardt Ag Services,39.99054662857143,-122.23468018571428,2,#008000,0/2,Company: Englehardt Ag Services\nNT/Devices: 0/2 [0%]
Yard Tag Sweep,3 devices|66% NT|Costa View Farms,36.98201656249999,-120.3285122,7.333333333333333,#d49000,2/3,Company: Costa View Farms\nNT/Devices: 2/3 [66%]
Yard Tag Sweep,1 devices|100% NT|Caymus Vineyards,38.236106879999994,-122.11112748000001,10.0,#f00,1/1,Company: Caymus Vineyards\nNT/Devices: 1/1 [100%]
Yard Tag Sweep,9 devices|0% NT|Bullseye Farming,38.52464581000001,-121.70425797499999,2,#008000,0/9,Company: Bullseye Farming\nNT/Devices: 0/9 [0%]
Yard Tag Sweep,3 devices|33% NT|Travaille & Phippen,37.712252039999996,-120.77420959999999,4.666666666666666,#70aa00,1/3,Company: Travaille & Phippen\nNT/Devices: 1/3 [33%]
Yard Tag Sweep,"3 devices|33% NT|WC Ag Services, Inc.",37.91950775555556,-120.98266602222222,4.666666666666666,#70aa00,1/3,"Company: WC Ag Services, Inc.\nNT/Devices: 1/3 [33%]"
Yard Tag Sweep,"2 devices|0% NT|Pacific Farms & Orchards, INC.",40.17888412,-122.175103,2,#008000,0/2,"Company: Pacific Farms & Orchards, INC.\nNT/Devices: 0/2 [0%]"
Yard Tag Sweep,4 devices|50% NT|Costa View Farms,37.04379272222223,-120.37368351111111,6.0,#bfbf00,2/4,Company: Costa View Farms\nNT/Devices: 2/4 [50%]
Yard Tag Sweep,7 devices|28% NT|PGIM - Limoneria,36.24533791818182,-119.0708153409091,4.285714285714286,#5ca400,2/7,Company: PGIM - Limoneria\nNT/Devices: 2/7 [28%]
Yard Tag Sweep,2 devices|0% NT|Cox Orchards,37.34150774,-120.28555753999999,2,#008000,0/2,Company: Cox Orchards\nNT/Devices: 0/2 [0%]
Yard Tag Sweep,4 devices|25% NT|Travaille & Phippen,37.816354275,-120.831806175,4.0,#50a000,1/4,Company: Travaille & Phippen\nNT/Devices: 1/4 [25%]
Yard Tag Sweep,5 devices|0% NT|Bullseye Farming,38.760130319999995,-121.75661010000002,2,#008000,0/5,Company: Bullseye Farming\nNT/Devices: 0/5 [0%]
Yard Tag Sweep,1 devices|100% NT|Boundary Bend Olives,38.759004219999994,-121.96228792,10.0,#f00,1/1,Company: Boundary Bend Olives\nNT/Devices: 1/1 [100%]
Yard Tag Sweep,5 devices|20% NT|Costa View Farms,36.97219618,-120.32843322000001,3.6,#3d9900,1/5,Company: Costa View Farms\nNT/Devices: 1/5 [20%]
Yard Tag Sweep,3 devices|66% NT|Ron Tadlock Farms,38.8455194,-121.93340174999999,7.333333333333333,#d49000,2/3,Company: Ron Tadlock Farms\nNT/Devices: 2/3 [66%]
Yard Tag Sweep,2 devices|0% NT|Bays Ranch Inc,37.39056472,-121.08561247999998,2,#008000,0/2,Company: Bays Ranch Inc\nNT/Devices: 0/2 [0%]
Yard Tag Sweep,3 devices|0% NT|Cox Orchards,37.33264074444445,-120.33387163333333,2,#008000,0/3,Company: Cox Orchards\nNT/Devices: 0/3 [0%]
Yard Tag Sweep,6 devices|0% NT|Bays Ranch Inc,37.424317485714276,-121.03861125714285,2,#008000,0/6,Company: Bays Ranch Inc\nNT/Devices: 0/6 [0%]
Yard Tag Sweep,5 devices|0% NT|Bullseye Farming,38.643970483333334,-121.76576994999999,2,#008000,0/5,Company: Bullseye Farming\nNT/Devices: 0/5 [0%]
Yard Tag Sweep,3 devices|66% NT|High Desert,35.780171,-114.13115365714286,7.333333333333333,#d49000,2/3,Company: High Desert\nNT/Devices: 2/3 [66%]
Yard Tag Sweep,4 devices|0% NT|Kisling Farms LLC,36.18130188,-119.14666442000001,2,#008000,0/4,Company: Kisling Farms LLC\nNT/Devices: 0/4 [0%]
Yard Tag Sweep,5 devices|0% NT|Bullseye Farming,38.64184568,-121.76319276000001,2,#008000,0/5,Company: Bullseye Farming\nNT/Devices: 0/5 [0%]
Yard Tag Sweep,2 devices|100% NT|KMO,47.3197197,-120.30792390000002,10.0,#f00,2/2,Company: KMO\nNT/Devices: 2/2 [100%]
Yard Tag Sweep,4 devices|100% NT|KMO,47.321379183333335,-120.30227279166667,10.0,#f00,4/4,Company: KMO\nNT/Devices: 4/4 [100%]
Yard Tag Sweep,4 devices|50% NT|KMO,47.32198412,-120.32668762,6.0,#bfbf00,2/4,Company: KMO\nNT/Devices: 2/4 [50%]
Yard Tag Sweep,9 devices|100% NT|KMO,47.32102806315789,-120.30181242631579,10.0,#f00,9/9,Company: KMO\nNT/Devices: 9/9 [100%]
Yard Tag Sweep,14 devices|50% NT|KMO,47.334025961111124,-120.30458229999998,6.0,#bfbf00,7/14,Company: KMO\nNT/Devices: 7/14 [50%]
Yard Tag Sweep,3 devices|66% NT|KMO,47.32752036666667,-120.31298446666666,7.333333333333333,#d49000,2/3,Company: KMO\nNT/Devices: 2/3 [66%]
Yard Tag Sweep,4 devices|75% NT|KMO,47.32253520666667,-120.31662726333336,8.0,#df7000,3/4,Company: KMO\nNT/Devices: 3/4 [75%]
Yard Tag Sweep,3 devices|33% NT|KMO,47.31883910399999,-120.323106696,4.666666666666666,#70aa00,1/3,Company: KMO\nNT/Devices: 1/3 [33%]
Yard Tag Sweep,3 devices|100% NT|KMO,47.32764052,-120.31258852,10.0,#f00,3/3,Company: KMO\nNT/Devices: 3/3 [100%]
Yard Tag Sweep,8 devices|50% NT|KMO,47.33395003636363,-120.30546638181819,6.0,#bfbf00,4/8,Company: KMO\nNT/Devices: 4/8 [50%]
Yard Tag Sweep,2 devices|100% NT|KMO,47.32775726,-120.31193083999999,10.0,#f00,2/2,Company: KMO\nNT/Devices: 2/2 [100%]
Yard Tag Sweep,6 devices|66% NT|KMO,47.32101751818182,-120.31920554545455,7.333333333333333,#d49000,4/6,Company: KMO\nNT/Devices: 4/6 [66%]
Yard Tag Sweep,3 devices|66% NT|KMO,47.3426113,-120.30874250999997,7.333333333333333,#d49000,2/3,Company: KMO\nNT/Devices: 2/3 [66%]
Yard Tag Sweep,7 devices|100% NT|KMO,47.32434982727273,-120.3176644,10.0,#f00,7/7,Company: KMO\nNT/Devices: 7/7 [100%]
Yard Tag Sweep,5 devices|60% NT|KMO,47.32225089999999,-120.32608577142857,6.8,#cca300,3/5,Company: KMO\nNT/Devices: 3/5 [60%]
Yard Tag Sweep,13 devices|30% NT|Olam,35.28245373020834,-119.16313974166667,4.461538461538462,#64a600,4/13,Company: Olam\nNT/Devices: 4/13 [30%]
Yard Tag Sweep,5 devices|60% NT|Olam,36.79789353333333,-120.19147618333335,6.8,#cca300,3/5,Company: Olam\nNT/Devices: 3/5 [60%]
Yard Tag Sweep,9 devices|55% NT|Olam,36.80083151095891,-120.18814212054798,6.444444444444445,#c6b200,5/9,Company: Olam\nNT/Devices: 5/9 [55%]
Yard Tag Sweep,6 devices|33% NT|Olam,37.05776524375,-120.29314660624999,4.666666666666666,#70aa00,2/6,Company: Olam\nNT/Devices: 2/6 [33%]
Yard Tag Sweep,5 devices|20% NT|Olam,37.192084426,-120.17932648,3.6,#3d9900,1/5,Company: Olam\nNT/Devices: 1/5 [20%]
Yard Tag Sweep,10 devices|60% NT|Olam,37.191983077647066,-120.17999788,6.8,#cca300,6/10,Company: Olam\nNT/Devices: 6/10 [60%]
Yard Tag Sweep,7 devices|42% NT|Olam,37.52173412470589,-120.70808410823528,5.428571428571429,#98b500,3/7,Company: Olam\nNT/Devices: 3/7 [42%]
Yard Tag Sweep,11 devices|27% NT|Olam,37.58903626705202,-120.50893296184971,4.181818181818182,#58a200,3/11,Company: Olam\nNT/Devices: 3/11 [27%]
Yard Tag Sweep,8 devices|12% NT|Olam,37.0316931,-120.28321584117649,3.0,#228f00,1/8,Company: Olam\nNT/Devices: 1/8 [12%]
Yard Tag Sweep,2 devices|0% NT|Olam,37.29320906666666,-120.33363468333333,2,#008000,0/2,Company: Olam\nNT/Devices: 0/2 [0%]
Yard Tag Sweep,4 devices|50% NT|Olam,37.29225559473684,-120.37540876842107,6.0,#bfbf00,2/4,Company: Olam\nNT/Devices: 2/4 [50%]
Yard Tag Sweep,5 devices|0% NT|Olam,37.02519268888889,-120.24345396666666,2,#008000,0/5,Company: Olam\nNT/Devices: 0/5 [0%]
Yard Tag Sweep,3 devices|0% NT|Olam,35.25258408,-119.18121947333334,2,#008000,0/3,Company: Olam\nNT/Devices: 0/3 [0%]
Yard Tag Sweep,4 devices|0% NT|Olam,37.05662601666666,-120.2212677,2,#008000,0/4,Company: Olam\nNT/Devices: 0/4 [0%]
Yard Tag Sweep,6 devices|50% NT|Olam,37.09756036486486,-120.08207785405405,6.0,#bfbf00,3/6,Company: Olam\nNT/Devices: 3/6 [50%]
Yard Tag Sweep,8 devices|50% NT|Olam,35.25253787419355,-119.18193841612903,6.0,#bfbf00,4/8,Company: Olam\nNT/Devices: 4/8 [50%]
Yard Tag Sweep,5 devices|80% NT|Olam,36.80153834,-120.21220550666665,8.4,#e65c00,4/5,Company: Olam\nNT/Devices: 4/5 [80%]
Yard Tag Sweep,4 devices|0% NT|Olam,35.25232658,-119.17075501,2,#008000,0/4,Company: Olam\nNT/Devices: 0/4 [0%]
Yard Tag Sweep,3 devices|0% NT|Olam,37.02927933,-120.28321076,2,#008000,0/3,Company: Olam\nNT/Devices: 0/3 [0%]
Yard Tag Sweep,10 devices|20% NT|AC Foods,36.14522284893618,-119.0139230106383,3.6,#3d9900,2/10,Company: AC Foods\nNT/Devices: 2/10 [20%]
Yard Tag Sweep,7 devices|0% NT|AC Foods,37.84209612931034,-121.40452338793104,2,#008000,0/7,Company: AC Foods\nNT/Devices: 0/7 [0%]
Yard Tag Sweep,4 devices|50% NT|CMC Farms,35.352835482352944,-118.87368640588235,6.0,#bfbf00,2/4,Company: CMC Farms\nNT/Devices: 2/4 [50%]
Yard Tag Sweep,9 devices|22% NT|AC Foods,35.80011069375,-119.087808128125,3.7777777777777777,#459c00,2/9,Company: AC Foods\nNT/Devices: 2/9 [22%]
Yard Tag Sweep,5 devices|60% NT|AC Foods,36.4240925,-119.1456158076923,6.8,#cca300,3/5,Company: AC Foods\nNT/Devices: 3/5 [60%]
Yard Tag Sweep,5 devices|40% NT|AC Foods,36.42376668947368,-119.14497415263158,5.2,#8fb300,2/5,Company: AC Foods\nNT/Devices: 2/5 [40%]
Yard Tag Sweep,6 devices|33% NT|AC Foods,36.67437770714286,-119.67370932857145,4.666666666666666,#70aa00,2/6,Company: AC Foods\nNT/Devices: 2/6 [33%]
Yard Tag Sweep,5 devices|0% NT|AC Foods,36.10880711333334,-118.95410464,2,#008000,0/5,Company: AC Foods\nNT/Devices: 0/5 [0%]
Yard Tag Sweep,4 devices|75% NT|Agricare,36.04703633902439,-119.051498597561,8.0,#df7000,3/4,Company: Agricare\nNT/Devices: 3/4 [75%]
Yard Tag Sweep,3 devices|66% NT|Agricare,36.1336727125,-119.0817547,7.333333333333333,#d49000,2/3,Company: Agricare\nNT/Devices: 2/3 [66%]
Yard Tag Sweep,4 devices|0% NT|Agricare,35.27393057741935,-118.76643912903226,2,#008000,0/4,Company: Agricare\nNT/Devices: 0/4 [0%]
Yard Tag Sweep,4 devices|50% NT|Agricare,36.60016404,-119.39190217000001,6.0,#bfbf00,2/4,Company: Agricare\nNT/Devices: 2/4 [50%]
Yard Tag Sweep,4 devices|0% NT|Agricare,36.2680626,-119.10000457999999,2,#008000,0/4,Company: Agricare\nNT/Devices: 0/4 [0%]
Yard Tag Sweep,2 devices|0% NT|Agricare,36.16037294,-119.01794737999998,2,#008000,0/2,Company: Agricare\nNT/Devices: 0/2 [0%]
Yard Tag Sweep,3 devices|0% NT|Agricare,36.16756286,-119.0589859,2,#008000,0/3,Company: Agricare\nNT/Devices: 0/3 [0%]
